date,max_temp,min_temp,temp,Wind Chill,Heat Index,precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,relative_humidity,conditions
2020-09-01,15.6,12.3,13.7,,,3.97,,13.3,,20.7,,85.29,Rain
2020-09-02,18.3,11.0,14.3,,,0.39,,9,,29.1,6.5,78.04,Rain
2020-09-03,21.3,10.8,16.1,,,0,,13.3,,48.5,2.6,64.75,Clear
2020-09-04,25.6,16.1,20.2,,,0,,12.2,,39,0,59.29,Clear
2020-09-05,27.0,15.7,21.0,,27,0.01,,18.4,,43,6.5,64.09,Rain
2020-09-06,17.6,14.0,15.6,,,10.62,,13.7,,28.5,,83.37,Rain
2020-09-07,17.9,11.6,14.4,,,1.16,,10.8,,34.6,0,79.62,Rain
2020-09-08,21.3,10.8,14.9,,,0.01,,8.6,,18.2,0.8,79.95,Rain
2020-09-09,24.6,10.0,17.2,,,0,,12.2,,30.3,0,73.77,Clear
2020-09-10,23.6,12.9,18.4,,,0,,11.9,,42,0,71.74,Clear
2020-09-11,23.2,13.2,17.4,,,0,,11.9,,23.7,2.6,79.12,Clear
2020-09-12,25.5,12.2,18.4,,,0,,9.7,,31.4,0,74.05,Clear
2020-09-13,26.4,13.0,19.2,,,0,,14,,34.3,0,70.18,Clear
2020-09-14,27.0,13.1,19.0,,27.3,0,,13.7,,34.5,1.6,74.07,Clear
2020-09-15,28.3,13.6,20.2,,28.2,0,,12.6,,35.6,0.7,72.7,Clear
2020-09-16,26.5,16.3,21.0,,,0,,16.2,,39.1,0,67.45,Clear
2020-09-17,23.6,15.6,19.2,,,0,,16.9,,25.8,6.5,73.75,Clear
2020-09-18,19.8,11.3,15.1,,,0,,17.3,,33.3,0.8,68.49,Clear
2020-09-19,22.4,7.00,14.4,6.6,,0,,10.8,,41.4,0,69.29,Clear
2020-09-20,22.8,9.70,15.8,9.4,,0,,11.9,,31.1,0,75.29,Clear
2020-09-21,23.6,10.9,16.8,,,0,,11.5,,33.5,0.7,72.69,Clear
2020-09-22,25.3,12.5,17.9,,,2.63,,9.7,,31.6,1.1,75.56,Rain
2020-09-23,19.6,14.6,16.5,,,6.81,,14.4,,32.4,0,84.11,Rain
2020-09-24,21.0,13.1,16.9,,,0.31,,14,,46.5,,72.87,Rain
2020-09-25,14.8,5.50,9.80,2.5,,36.05,,22.7,,23.2,,89.15,Rain
2020-09-26,7.50,6.30,6.90,2.2,,4.27,,32.4,,20.4,,83.31,Rain
2020-09-27,15.1,6.10,9.90,2.8,,0,,25.6,,49,1,64.38,Clear
2020-09-28,10.5,4.80,7.70,2.7,,0.53,,10.4,,34.4,0,86.19,Rain
2020-09-29,12.0,8.50,10.3,7.1,,0.67,,19.1,,26.9,,84.27,Rain
2020-09-30,10.9,10.9,10.9,,,0,,4.7,,46,,83.04,Clear
